Area,Perimeter,Radius,Label
347.0,68.01,10.65,Stage 1
406.3,73.87,11.52,Stage 2
1364.0,138.9,20.94,Stage 2
407.4,73.28,11.5,Stage 2
1206.0,130.7,19.73,Stage 1
928.2,113.0,17.3,Stage 2
1169.0,126.5,19.45,Stage 2
602.4,91.43,13.96,Stage 2
1207.0,133.6,19.55,Stage 1
713.3,103.2,15.32,Stage 2
773.5,110.2,15.66,Stage 2
744.9,103.7,15.53,Stage 2
1288.0,132.9,20.31,Stage 2
933.1,111.0,17.35,Stage 2
947.8,114.4,17.29,Stage 2
758.6,100.0,15.61,Stage 2
928.3,111.6,17.19,Stage 2
1419.0,135.7,20.73,Stage 2
346.4,69.28,10.6,Stage 1
561.0,87.16,13.59,Stage 2
512.2,82.38,12.87,Stage 2
344.9,69.5,10.71,Stage 1
632.6,90.3,14.29,Stage 2
388.0,72.23,11.29,Stage 2
1491.0,147.3,21.75,Stage 2
289.9,61.5,9.742,Stage 1
998.9,115.2,17.93,Stage 2
435.6,76.2,11.89,Stage 2
396.6,71.79,11.33,Stage 2
1102.0,120.9,18.81,Stage 2
572.3,86.24,13.59,Stage 2
587.4,88.99,13.85,Stage 2
1138.0,126.2,19.16,Stage 2
427.3,74.24,11.74,Stage 2
1145.0,127.2,19.4,Stage 2
805.1,108.8,16.24,Stage 2
516.6,84.08,12.89,Stage 2
489.0,79.83,12.58,Stage 2
441.0,77.87,11.94,Stage 2
515.9,81.89,12.89,Stage 2
394.1,73.72,11.26,Stage 2
396.0,72.17,11.37,Stage 2
651.0,96.03,14.41,Stage 2
687.3,97.03,14.96,Stage 2
513.7,83.14,12.95,Stage 2
432.7,75.54,11.85,Stage 2
492.1,81.78,12.72,Stage 2
582.7,88.06,13.77,Stage 2
363.7,69.14,10.91,Stage 2
431.1,75.0,11.76,Stage 2
633.1,91.22,14.26,Stage 2
334.2,66.85,10.51,Stage 3
1217.0,129.5,19.53,Stage 1
471.3,80.43,12.46,Stage 2
1247.0,134.7,20.09,Stage 1
334.3,66.86,10.49,Stage 3
403.1,73.59,11.46,Stage 2
417.2,74.23,11.6,Stage 2
537.3,84.07,13.2,Stage 2
246.3,56.36,9.0,Stage 3
566.2,85.69,13.5,Stage 2
530.6,82.71,13.05,Stage 2
418.7,74.33,11.7,Stage 2
664.9,92.68,14.61,Stage 2
504.1,82.29,12.76,Stage 2
409.1,73.73,11.54,Stage 2
221.2,54.09,8.597,Stage 3
481.6,79.19,12.49,Stage 2
461.4,77.25,12.18,Stage 2
1027.0,118.7,18.22,Stage 2
244.5,60.07,9.042,Stage 3
477.3,78.6,12.43,Stage 2
324.2,66.52,10.25,Stage 3
1274.0,131.1,20.16,Stage 2
504.8,82.82,12.86,Stage 2
1264.0,135.9,20.34,Stage 2
457.9,78.01,12.2,Stage 2
489.9,81.25,12.67,Stage 2
616.5,90.03,14.11,Stage 2
446.0,76.09,12.03,Stage 2
813.7,106.9,16.27,Stage 2
826.8,107.5,16.26,Stage 2
793.2,105.8,16.03,Stage 2
514.0,84.52,12.98,Stage 2
387.3,71.94,11.22,Stage 2
390.0,71.38,11.25,Stage 2
464.4,77.88,12.3,Stage 2
918.6,111.8,17.06,Stage 2
514.3,84.08,12.99,Stage 2
1092.0,122.9,18.77,Stage 2
310.8,64.41,10.05,Stage 3
1747.0,155.1,23.51,Stage 2
641.2,94.15,14.42,Stage 2
280.5,61.64,9.606,Stage 3
373.9,71.49,11.06,Stage 2
1194.0,129.9,19.68,Stage 1
420.3,75.03,11.71,Stage 2
321.6,66.2,10.26,Stage 3
445.3,76.66,12.06,Stage 2
668.7,94.87,14.76,Stage 2
402.7,73.02,11.47,Stage 2
426.7,77.23,11.95,Stage 2
421.0,73.7,11.66,Stage 2
758.6,107.1,15.75,Stage 2
2010.0,174.2,25.73,Stage 2
716.6,98.0,15.08,Stage 2
384.6,71.24,11.14,Stage 2
485.8,81.92,12.56,Stage 2
512.0,85.09,13.05,Stage 2
593.7,88.52,13.87,Stage 2
241.0,56.74,8.878,Stage 3
278.6,59.82,9.436,Stage 3
491.9,79.42,12.54,Stage 2
546.1,85.24,13.3,Stage 2
496.6,81.87,12.76,Stage 2
838.1,106.6,16.5,Stage 2
552.4,85.48,13.4,Stage 2
1293.0,133.8,20.44,Stage 2
1234.0,133.7,20.2,Stage 1
458.4,78.31,12.21,Stage 2
1546.0,140.9,21.71,Stage 2
1482.0,147.2,22.01,Stage 2
840.4,109.0,16.35,Stage 2
711.8,97.65,15.19,Stage 2
1386.0,141.3,21.37,Stage 2
1335.0,134.8,20.64,Stage 2
579.1,87.84,13.69,Stage 2
788.5,106.3,16.17,Stage 2
338.3,70.15,10.57,Stage 1
562.1,85.89,13.46,Stage 2
580.6,88.27,13.66,Stage 2
361.6,73.3,11.08,Stage 2
386.3,73.16,11.27,Stage 2
372.7,70.67,11.04,Stage 2
447.8,78.75,12.05,Stage 2
462.9,80.64,12.39,Stage 2
541.8,85.79,13.28,Stage 2
664.7,93.97,14.6,Stage 2
462.0,78.78,12.21,Stage 2
596.6,88.37,13.88,Stage 2
392.0,73.38,11.27,Stage 2
1174.0,128.9,19.55,Stage 1
321.6,65.75,10.26,Stage 3
234.3,55.27,8.734,Stage 3
744.7,102.4,15.49,Stage 2
1407.0,144.4,21.61,Stage 2
446.2,78.07,12.1,Stage 2
609.1,89.75,14.06,Stage 2
558.1,88.1,13.51,Stage 2
508.3,83.05,12.8,Stage 2
378.2,70.31,11.06,Stage 2
431.9,75.26,11.8,Stage 2
994.0,124.4,17.91,Stage 2
442.7,76.14,11.93,Stage 2
525.2,84.18,12.96,Stage 2
507.6,83.18,12.94,Stage 2
469.1,78.29,12.34,Stage 2
370.0,70.39,10.94,Stage 2
800.0,104.3,16.14,Stage 2
514.5,82.63,12.85,Stage 2
991.7,117.8,17.99,Stage 2
466.1,78.41,12.27,Stage 2
399.8,72.49,11.36,Stage 2
373.2,70.92,11.04,Stage 2
268.8,59.75,9.397,Stage 3
693.7,97.53,14.99,Stage 2
719.5,96.71,15.13,Stage 2
433.8,76.39,11.89,Stage 2
271.2,59.6,9.405,Stage 3
803.1,102.9,15.5,Stage 2
495.0,80.88,12.7,Stage 2
380.3,70.95,11.16,Stage 2
409.7,74.2,11.57,Stage 2
656.1,98.22,14.69,Stage 2
408.2,75.46,11.61,Stage 2
575.3,89.46,13.66,Stage 2
289.7,61.93,9.742,Stage 1
307.3,63.19,10.03,Stage 3
333.6,67.49,10.48,Stage 3
359.9,68.79,10.8,Stage 1
381.1,70.47,11.13,Stage 2
501.3,80.98,12.72,Stage 2
685.0,102.1,14.9,Stage 2
467.8,81.47,12.4,Stage 2
1250.0,133.8,20.18,Stage 1
1110.0,123.7,18.82,Stage 2
673.7,94.89,14.86,Stage 2
599.5,91.12,13.98,Stage 2
509.2,82.67,12.87,Stage 2
611.2,89.78,14.04,Stage 2
592.6,88.68,13.85,Stage 2
606.5,89.59,14.02,Stage 2
371.5,71.73,10.97,Stage 2
928.8,112.4,17.27,Stage 2
585.9,88.37,13.78,Stage 2
340.9,66.82,10.57,Stage 1
990.0,117.5,18.03,Stage 2
441.3,77.61,11.99,Stage 2
981.6,117.3,17.75,Stage 2
674.8,95.88,14.8,Stage 2
659.7,94.25,14.53,Stage 2
1384.0,138.1,21.1,Stage 2
432.0,76.83,11.87,Stage 2
1191.0,127.7,19.59,Stage 2
442.5,76.77,12.0,Stage 2
644.2,93.86,14.53,Stage 2
492.9,80.62,12.62,Stage 2
557.2,86.34,13.38,Stage 2
415.1,74.87,11.63,Stage 2
537.9,84.1,13.21,Stage 2
520.2,82.61,13.0,Stage 2
290.9,61.68,9.755,Stage 1
930.9,111.2,17.08,Stage 2
2501.0,186.9,27.42,Stage 2
646.1,92.25,14.4,Stage 2
412.7,73.88,11.6,Stage 2
537.3,84.28,13.17,Stage 2
542.9,86.87,13.24,Stage 2
536.9,85.98,13.14,Stage 2
286.3,61.06,9.668,Stage 1
980.5,119.0,17.6,Stage 2
408.8,76.38,11.62,Stage 2
289.1,61.49,9.667,Stage 1
449.9,76.85,12.04,Stage 2
686.9,96.45,14.92,Stage 2
465.4,77.42,12.27,Stage 2
358.9,70.41,10.88,Stage 2
506.9,82.89,12.83,Stage 2
618.4,92.41,14.2,Stage 2
599.4,88.97,13.9,Stage 2
404.9,73.99,11.49,Stage 2
815.8,109.8,16.25,Stage 2
455.3,78.29,12.16,Stage 2
602.9,88.73,13.9,Stage 2
546.3,87.32,13.47,Stage 2
571.1,87.76,13.7,Stage 2
747.2,102.8,15.73,Stage 2
476.7,82.85,12.45,Stage 2
666.0,94.21,14.64,Stage 2
1167.0,128.1,19.44,Stage 1
420.5,75.49,11.68,Stage 2
857.6,107.1,16.69,Stage 2
466.5,78.18,12.25,Stage 2
992.1,114.6,17.85,Stage 2
1007.0,118.4,18.01,Stage 2
477.3,78.83,12.46,Stage 2
538.7,84.06,13.16,Stage 2
680.9,96.12,14.87,Stage 2
485.6,82.69,12.65,Stage 2
480.1,80.45,12.47,Stage 2
1068.0,121.3,18.49,Stage 2
1320.0,137.8,20.59,Stage 2
689.4,98.73,15.04,Stage 2
595.9,92.33,13.82,Stage 2
476.3,81.25,12.54,Stage 2
1682.0,152.1,23.09,Stage 2
248.7,61.49,9.268,Stage 3
272.5,64.12,9.676,Stage 3
453.1,79.47,12.22,Stage 2
366.5,71.25,11.06,Stage 2
819.8,104.7,16.3,Stage 2
731.3,103.8,15.46,Stage 2
426.0,76.31,11.74,Stage 2
680.7,94.66,14.81,Stage 2
556.7,88.64,13.4,Stage 2
658.8,94.29,14.58,Stage 2
701.9,97.26,15.05,Stage 2
391.2,72.76,11.34,Stage 2
1052.0,120.8,18.31,Stage 2
1214.0,130.5,19.89,Stage 1
493.1,84.45,12.88,Stage 2
493.8,82.51,12.75,Stage 2
257.8,59.96,9.295,Stage 3
1841.0,165.5,24.63,Stage 2
388.1,71.3,11.26,Stage 2
571.0,88.73,13.71,Stage 2
293.2,63.0,9.847,Stage 3
221.3,54.53,8.571,Stage 3
551.1,87.44,13.46,Stage 2
468.5,78.94,12.34,Stage 2
594.2,90.31,13.94,Stage 2
445.2,77.83,12.07,Stage 2
422.9,75.89,11.75,Stage 2
416.2,75.21,11.67,Stage 2
575.5,87.76,13.68,Stage 2
1299.0,134.7,20.47,Stage 2
365.6,70.79,10.96,Stage 2
1308.0,137.8,20.55,Stage 2
629.8,93.77,14.27,Stage 2
406.4,76.37,11.69,Stage 2
178.8,47.98,7.729,Stage 1
170.4,48.34,7.691,Stage 1
402.9,74.65,11.54,Stage 2
656.4,95.81,14.47,Stage 2
668.6,94.7,14.74,Stage 2
538.4,84.88,13.21,Stage 2
584.8,89.77,13.87,Stage 2
573.2,87.19,13.62,Stage 2
324.9,65.31,10.32,Stage 3
320.8,65.85,10.26,Stage 3
285.7,61.05,9.683,Stage 1
361.6,68.89,10.82,Stage 1
360.5,68.51,10.86,Stage 2
378.4,71.49,11.13,Stage 2
507.9,81.35,12.77,Stage 2
264.0,59.01,9.333,Stage 3
514.3,82.5,12.88,Stage 2
321.4,65.67,10.29,Stage 3
311.7,64.73,10.16,Stage 3
271.3,59.26,9.423,Stage 3
657.1,96.39,14.59,Stage 2
403.5,74.52,11.51,Stage 2
600.4,91.38,14.05,Stage 2
386.0,70.67,11.2,Stage 2
716.9,103.4,15.22,Stage 2
1347.0,143.0,20.92,Stage 2
1479.0,142.0,21.56,Stage 2
1261.0,131.2,20.13,Stage 1
858.1,108.3,16.6,Stage 2
1265.0,140.1,20.6,Stage 2
181.0,47.92,7.76,Stage 1
